,policy_name,policy_title,jurisdiction,policy_instrument,sector,policy_description,policy_type,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,last_update,Scope,Ambition,Implementation,Innovation,Total Score
,,,,,,,,,,,,,,,,,,,
1,2023 Green Finance Strategy,2023 Green Finance Strategy United Kingdom (2023),Country,"Economic instruments, Fiscal or financial incentives, Grants and subsidies, Loans",General,"The 2023 Green Finance Strategy reinforces the UK government's stance on green finance and investment. It delineates five key objectives, including mobilizing financial support for climate-oriented projects, encouraging private investment in the green economy, and aligning global financial flows with climate and nature objectives.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2023,,,,Mitigation,23/02/2024,4,2.5,3,3,3.05
,25 years Environmental Plan,25 years Environmental Plan United Kingdom (2019),Country,"Policy support, Strategic planning","Agriculture and forestry, Industry, Fluorinated gases, Waste CH4","Amongst other goals, the 25 years Plan lays out a strategic plan to take action to mitigate emissions and adapt to climate change effects by cutting greenhouse gas emissions including from land use, land use change, the agriculture and waste sectors and the use of fluorinated gases and implementing the Second National Adaptation Programme. Also, the plan outlines a expansion of the woodland cover and support protection of international forests. 
In the energy sector, the plan outlines a commitment to another policy - the Clean Growth Strategy - underscoring that UK will take action to eliminate unabated coal-fired electricity by 2025.",Non-energy use,In force,2019,2019,,High,"Adaptation, Land use, Mitigation",01/05/2021,2.5,5,4,1,3.1
3,,,,,,,,,,,,,,,2.5,3,4,4,3.4
4,,,,,,,,,,,,,,,4,2,2,5,3.3
5,,,,,,,,,,,,,,,2,5,4,4,3.9
6,Additional Funding Charging Infrastructure,Additional Funding Charging Infrastructure United Kingdom (2016),Country,"Infrastructure investments, Grants and subsidies","Transport, Low-emissions mobility","During the 2016 Autumn Statement, the Chancellor announced additional funding of £80m for charging infrastructure (including rapid charge points) for the period 2017 to 2020 and Government is considering how best to allocate this funding to meet the needs of drivers and deliver value for money. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2016,2017,,Unknown,Mitigation,,3,2,2,4,2.8
7,Advanced Propulsion Centre,Advanced Propulsion Centre United Kingdom (2014),Country,Technology deployment and diffusion,"Transport, Low-emissions mobility","This builds on the £1bn joint government/industry commitment on an Advanced Propulsion Centre announced last summer and will focus on the technologies needed to deliver mass market ultra low emission vehicle motoring. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2014,,,Unknown,Mitigation,,2,3,5,1,2.6
8,Affordable Warmth Scheme,Affordable Warmth Scheme United Kingdom (2001),Subnational region,Grants and subsidies,Buildings,"The Affordable Warmth Scheme is the Northern Ireland Government's scheme to tackle fuel poverty in the private sector. The Housing Executive and local Councils deliver the Scheme throughout Northern Ireland. Eligibility requirements require applicants to own their own home or rent it from a private landlord, and have a total annual income of less that £20,000. The Scheme is targeted at areas where levels of fuel poverty are worst. There are a range of energy efficiency measures available through the Affordable Warmth Scheme up to £7,500 (£10,00O if dwelling is of solid wall construction and insulation measures are needed) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2001,,,Unknown,Mitigation,,3,2.5,2,4,2.95
9,Agricultural Act,Agricultural Act United Kingdom (2020),Country,"Fiscal or financial incentives, Grants and subsidies","Agriculture and forestry, Forestry","Following the United Kingdom’s departure from the European Union, the Agricultural Act was issued to replace the Common Agricultural Policy (CAP) stating a new system of subsidies to agricultural and forestry activities, such as direct payments and l and rural development payments, now called as basic payment scheme encompassing greening payments.
In article 1, the law establishes that the government will give financial assistance to activities that mitigate or adapt to climate change and section 35 the read meat levy.",Non-energy use,In force,2020,2020,,Unknown,"Food security, Land use, Mitigation",01/05/2021,2,3,3,1,2.2
