policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,
240306402,GBR,Annual,2023 Green Finance Strategy,2023 Green Finance Strategy United Kingdom (2023),Country,,United Kingdom,,,"Economic instruments, Fiscal or financial incentives, Grants and subsidies, Loans",General,"The 2023 Green Finance Strategy reinforces the UK government's stance on green finance and investment. It delineates five key objectives, including mobilizing financial support for climate-oriented projects, encouraging private investment in the green economy, and aligning global financial flows with climate and nature objectives.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2023,,,,Mitigation,https://www.gov.uk/government/publications/green-finance-strategy,23/02/2024,,,,,
211005259,GBR,Annual,25 years Environmental Plan,25 years Environmental Plan United Kingdom (2019),Country,,United Kingdom,,,"Policy support, Strategic planning","Agriculture and forestry, Industry, Fluorinated gases, Waste CH4","Amongst other goals, the 25 years Plan lays out a strategic plan to take action to mitigate emissions and adapt to climate change effects by cutting greenhouse gas emissions including from land use, land use change, the agriculture and waste sectors and the use of fluorinated gases and implementing the Second National Adaptation Programme. Also, the plan outlines a expansion of the woodland cover and support protection of international forests. 
In the energy sector, the plan outlines a commitment to another policy - the Clean Growth Strategy - underscoring that UK will take action to eliminate unabated coal-fired electricity by 2025.",Non-energy use,,In force,2019,2019,,High,"Adaptation, Land use, Mitigation","https://www.gov.uk/government/publications/25-year-environment-plan/25-year-environment-plan-our-targets-at-a-glance#:~:text=Minimising%20waste,-We%20will%20minimise&text=working%20towards%20our%20ambition%20of,new%20future%20targets%20and%20milestones",01/05/2021,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
211000121,GBR,Annual,Additional Funding Charging Infrastructure,Additional Funding Charging Infrastructure United Kingdom (2016),Country,,United Kingdom,,,"Infrastructure investments, Grants and subsidies","Transport, Low-emissions mobility","During the 2016 Autumn Statement, the Chancellor announced additional funding of £80m for charging infrastructure (including rapid charge points) for the period 2017 to 2020 and Government is considering how best to allocate this funding to meet the needs of drivers and deliver value for money. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2016,2017,,Unknown,Mitigation,https://www.iea.org/policies/2710-additional-funding-charging-infrastructure?country=United%20Kingdom&qs=united,,,,,,
211000132,GBR,Annual,Advanced Propulsion Centre,Advanced Propulsion Centre United Kingdom (2014),Country,,United Kingdom,,,Technology deployment and diffusion,"Transport, Low-emissions mobility","This builds on the £1bn joint government/industry commitment on an Advanced Propulsion Centre announced last summer and will focus on the technologies needed to deliver mass market ultra low emission vehicle motoring. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2014,,,Unknown,Mitigation,https://www.iea.org/policies/2713-advanced-propulsion-centre?country=United%20Kingdom&qs=united,,,,,,
211000136,GBR,Annual,Affordable Warmth Scheme,Affordable Warmth Scheme United Kingdom (2001),Subnational region,,United Kingdom,Northern Ireland,,Grants and subsidies,Buildings,"The Affordable Warmth Scheme is the Northern Ireland Government's scheme to tackle fuel poverty in the private sector. The Housing Executive and local Councils deliver the Scheme throughout Northern Ireland. Eligibility requirements require applicants to own their own home or rent it from a private landlord, and have a total annual income of less that £20,000. The Scheme is targeted at areas where levels of fuel poverty are worst. There are a range of energy efficiency measures available through the Affordable Warmth Scheme up to £7,500 (£10,00O if dwelling is of solid wall construction and insulation measures are needed) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2001,,,Unknown,Mitigation,https://www.iea.org/policies/2206-affordable-warmth-scheme?country=United%20Kingdom&page=4&qs=united,,,,,,
211005261,GBR,Annual,Agricultural Act,Agricultural Act United Kingdom (2020),Country,,United Kingdom,,,"Fiscal or financial incentives, Grants and subsidies","Agriculture and forestry, Forestry","Following the United Kingdom’s departure from the European Union, the Agricultural Act was issued to replace the Common Agricultural Policy (CAP) stating a new system of subsidies to agricultural and forestry activities, such as direct payments and l and rural development payments, now called as basic payment scheme encompassing greening payments.
In article 1, the law establishes that the government will give financial assistance to activities that mitigate or adapt to climate change and section 35 the read meat levy.",Non-energy use,,In force,2020,2020,,Unknown,"Food security, Land use, Mitigation",https://climate-laws.org/geographies/united-kingdom/laws/agriculture-act-2020,01/05/2021,,,,,
230206141,GBR,Annual,Automotive Roadmap,Automotive Roadmap United Kingdom (2022),Country,,United Kingdom,,,"Policy support, Strategic planning","Transport, Low-emissions mobility",This strategy sets out key priorities and actions to support the UK's goal of decarbonizing transport and banning ICE vehicle sales by 2035,Other low-carbon technologies and fuel switch,,In force,2022,2022,2035,,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1114754/hmg-automotive-roadmap-driving-us-all-forward.pdf,30/01/2023,,,,,
211000258,GBR,Annual,Bio-energy Capital Grants Scheme,Bio-energy Capital Grants Scheme United Kingdom (2002),Subnational region,,United Kingdom,,,Grants and subsidies,"Electricity and heat, Renewables",Executive,"Energy efficiency, Renewables",,In force,2002,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/bio-energy-capital-grants-scheme/,,,,,,
211000259,GBR,Annual,Bio-energy Infrastructure Scheme,Bio-energy Infrastructure Scheme United Kingdom (2004),Country,,United Kingdom,,,"Fiscal or financial incentives, Infrastructure investments","Electricity and heat, Renewables",,Renewables,,In force,2004,,,Unknown,Mitigation,https://www.iea.org/policies/4003-bio-energy-infrastructure-scheme,,,,,,
211000278,GBR,Annual,Biofuels Duty Incentive,Biofuels Duty Incentive United Kingdom (2002),Country,,United Kingdom,,,Tax relief,Transport,,Renewables,,In force,2002,,,Unknown,Mitigation,http://www.defra.gov.uk,,,,,,
